type,symbol,date,shares,limit_price,fill_price,fees
sell,sz.000155,2023-07-07,6138,,14.42,110.64
sell,sz.000887,2023-07-07,6830,,13.15,112.27
buy,sh.600521,2023-07-07,5063,17.72,17.71,22.42
buy,sh.600884,2023-07-07,6132,14.63,14.59,22.37
buy,sh.603225,2023-07-07,8272,10.85,10.8,22.33
buy,sh.603728,2023-07-07,1286,69.75,69.13,22.23
sell,sh.601958,2023-07-10,8364,,10.54,110.2
sell,sh.603225,2023-07-10,8272,,11.06,114.36
buy,sh.600157,2023-07-10,62700,1.43,1.43,22.42
buy,sh.600299,2023-07-10,11616,7.72,7.72,22.42
sell,sh.601016,2023-07-11,26048,,3.44,112.01
sell,sh.603728,2023-07-11,1286,,67.14,107.93
buy,sh.600352,2023-07-11,10660,8.41,8.4,22.39
buy,sh.600435,2023-07-12,7670,11.72,11.46,21.97
buy,sh.600516,2023-07-12,14508,6.2,6.17,22.38
buy,sh.601061,2023-07-12,10637,8.45,8.34,22.18
buy,sh.601099,2023-07-12,34588,2.6,2.6,22.48
sell,sh.600352,2023-07-13,10660,,8.47,112.86
sell,sh.600435,2023-07-13,7670,,11.13,106.71
sell,sh.601061,2023-07-13,10637,,8.39,111.56
sell,sh.600143,2023-07-14,10351,,8.67,112.18
buy,sh.601016,2023-07-14,26093,3.45,3.43,22.37
buy,sh.601128,2023-07-14,17303,5.2,5.2,22.49
sell,sh.600299,2023-07-17,11616,,7.77,112.82
sell,sh.601099,2023-07-17,34588,,2.62,113.28
buy,sh.601866,2023-07-17,38574,2.33,2.32,22.37
buy,sz.000709,2023-07-17,41624,2.16,2.15,22.37
buy,sz.000887,2023-07-17,6914,12.98,12.57,21.73
sell,sh.600157,2023-07-18,62700,,1.42,111.29
sell,sz.000709,2023-07-18,41624,,2.15,111.86
sell,sz.000887,2023-07-18,6914,,12.56,108.55
sell,sh.600521,2023-07-19,5063,,17.87,113.09
buy,sz.000039,2023-07-20,13025,6.85,6.84,22.27
buy,sz.000709,2023-07-20,41007,2.18,2.17,22.25
buy,sz.000728,2023-07-20,13970,6.38,6.37,22.25
sell,sh.601866,2023-07-21,38574,,2.33,112.35
buy,sz.000657,2023-07-21,9403,9.46,9.36,22.0
sell,sh.600884,2023-07-24,6132,,14.61,111.99
sell,sh.601016,2023-07-24,26093,,3.36,109.59
sell,sh.601128,2023-07-24,17303,,5.15,111.39
sell,sz.000039,2023-07-24,13025,,6.82,111.04
sell,sz.000657,2023-07-24,9403,,9.19,108.02
sell,sz.000709,2023-07-24,41007,,2.17,111.23
sell,sz.000728,2023-07-24,13970,,6.36,111.06
buy,sh.600143,2023-07-24,10232,8.7,8.68,22.2
buy,sh.600299,2023-07-24,11198,7.95,7.91,22.14
buy,sh.600348,2023-07-24,12687,7.01,6.94,22.01
buy,sh.600655,2023-07-24,13241,6.72,6.72,22.24
sell,sh.600516,2023-07-25,14508,,5.94,107.72
buy,sh.603000,2023-07-25,2958,29.89,29.88,22.1
buy,sh.600352,2023-07-26,10250,8.68,8.68,22.24
sell,sh.600143,2023-07-27,10232,,8.76,112.04
sell,sh.600299,2023-07-27,11198,,7.99,111.84
sell,sh.600352,2023-07-27,10250,,8.78,112.49
sell,sh.600655,2023-07-27,13241,,6.81,112.71
buy,sh.600521,2023-07-27,4928,17.97,17.88,22.03
buy,sz.002945,2023-07-27,6577,13.46,13.41,22.05
sell,sz.002945,2023-07-28,6577,,13.78,113.29
buy,sh.600988,2023-07-28,6088,14.59,14.33,21.81
buy,sh.688599,2023-07-31,2428,36.71,36.63,22.23
sell,sh.600348,2023-08-01,12687,,7.08,112.28
sell,sh.600988,2023-08-01,6088,,14.86,113.08
sell,sh.688599,2023-08-01,2428,,36.33,110.26
buy,sh.600143,2023-08-01,10053,8.87,8.87,22.29
buy,sz.000050,2023-08-01,9520,9.37,9.36,22.28
buy,sz.000967,2023-08-01,18286,4.88,4.87,22.26
sell,sh.603000,2023-08-02,2958,,30.02,111.0
sell,sz.000050,2023-08-02,9520,,9.45,112.46
sell,sz.000967,2023-08-02,18286,,4.86,111.09
buy,sh.600528,2023-08-02,8992,9.96,9.91,22.28
buy,sh.600536,2023-08-02,1632,54.84,54.14,22.09
buy,sh.600884,2023-08-02,5920,15.12,15.1,22.35
buy,sz.000657,2023-08-02,8952,10.0,9.95,22.27
buy,sz.000683,2023-08-02,13299,6.73,6.64,22.08
