date,symbol
2021-12-28,sh.601997
2021-12-28,sh.600704
2021-12-28,sh.600511
2021-12-28,sh.600901
2021-12-28,sz.002423
2021-12-28,sz.002966
2021-12-28,sh.600177
2021-12-28,sz.300763
2021-12-28,sz.002958
2021-12-28,sh.688778
2021-12-28,sz.002673
2021-12-28,sh.601128
2021-12-28,sz.000009
2021-12-28,sh.600295
2021-12-28,sh.688037
2021-12-28,sh.600390
2021-12-28,sh.601577
2021-12-28,sh.600352
2021-12-28,sz.300390
2021-12-28,sh.600126
2021-12-28,sz.000703
2021-12-29,sh.600606
2021-12-29,sz.000563
2021-12-29,sh.600583
2021-12-29,sh.600820
2021-12-29,sh.600598
2021-12-29,sz.000709
2021-12-29,sz.000429
2021-12-29,sh.601997
2021-12-29,sh.600704
2021-12-29,sh.600511
2021-12-29,sh.600901
2021-12-29,sh.600959
2021-12-29,sh.601019
2021-12-29,sz.002423
2021-12-29,sz.002966
2021-12-29,sz.000528
2021-12-29,sz.002926
2021-12-29,sh.600177
2021-12-29,sz.002958
2021-12-29,sh.600208
2021-12-29,sh.601333
2021-12-29,sh.688037
2021-12-29,sh.688192
2021-12-29,sh.688248
2021-12-29,sh.600390
2021-12-29,sh.600720
2021-12-29,sh.601577
2021-12-29,sz.000785
2021-12-29,sh.688235
2021-12-29,sh.600528
2021-12-30,sh.600606
2021-12-30,sh.600583
2021-12-30,sh.600820
2021-12-30,sz.000831
2021-12-30,sh.600598
2021-12-30,sz.000709
2021-12-30,sz.000429
2021-12-30,sz.000959
2021-12-30,sh.601997
2021-12-30,sh.600704
2021-12-30,sh.600901
2021-12-30,sh.600959
2021-12-30,sh.601019
2021-12-30,sz.002423
2021-12-30,sz.002966
2021-12-30,sz.000528
2021-12-30,sh.600177
2021-12-30,sz.002958
2021-12-30,sh.600208
2021-12-30,sh.601333
2021-12-30,sh.688192
2021-12-30,sh.688248
2021-12-30,sh.600390
2021-12-30,sh.600720
2021-12-30,sh.601577
2021-12-30,sz.000785
2021-12-30,sh.600153
2021-12-30,sh.688235
2021-12-30,sh.600927
2021-12-30,sh.600528
2021-12-31,sh.600339
2021-12-31,sh.600606
2021-12-31,sz.300339
2021-12-31,sh.600583
2021-12-31,sh.600820
2021-12-31,sz.000831
2021-12-31,sz.000709
2021-12-31,sz.002128
2021-12-31,sz.000429
2021-12-31,sz.000959
2021-12-31,sh.601997
2021-12-31,sh.600704
2021-12-31,sh.600901
2021-12-31,sh.600959
2021-12-31,sh.601019
2021-12-31,sh.601918
2021-12-31,sz.002423
2021-12-31,sz.002966
2021-12-31,sh.600177
2021-12-31,sz.002958
2021-12-31,sz.000898
2021-12-31,sh.601333
2021-12-31,sh.688192
2021-12-31,sh.688248
2021-12-31,sh.600390
2021-12-31,sh.601577
2021-12-31,sz.000785
2021-12-31,sh.688235
2021-12-31,sh.600126
2021-12-31,sh.600528
2022-01-04,sh.600339
2022-01-04,sz.300339
2022-01-04,sh.600583
2022-01-04,sz.000623
2022-01-04,sh.600820
2022-01-04,sz.000831
2022-01-04,sz.000728
2022-01-04,sz.000709
2022-01-04,sz.002128
2022-01-04,sz.000429
2022-01-04,sz.000959
2022-01-04,sh.601997
2022-01-04,sh.600704
2022-01-04,sh.600901
2022-01-04,sh.601019
2022-01-04,sz.002423
