date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2024-03-07,-23.44,1063238.86,0.0,1063238.86,63238.86,0.0,249.94
2024-03-08,-23.44,1080953.85,0.0,1080953.85,80953.85,0.0,249.94
2024-03-11,-23.44,1096189.93,0.0,1096189.93,96189.93,0.0,249.94
2024-03-12,111558.58,1082838.58,0.0,1082838.58,82838.58,0.0,389.6
2024-03-13,3651.54,1082290.09,0.0,1082290.09,82290.09,0.0,416.57
2024-03-14,3651.54,1074236.39,0.0,1074236.39,74236.39,0.0,416.57
2024-03-15,216716.08,1085257.49,0.0,1085257.49,85257.49,0.0,683.23
2024-03-18,307274.86,1093379.47,0.0,1093379.47,93379.47,0.0,959.39
2024-03-19,439162.53,1088077.76,0.0,1088077.76,88077.76,0.0,1613.76
2024-03-20,330641.84,1086676.04,0.0,1086676.04,86676.04,0.0,1640.89
2024-03-21,113809.67,1081775.92,0.0,1081775.92,81775.92,0.0,1695.08
2024-03-22,113809.67,1066145.01,0.0,1066145.01,66145.01,0.0,1695.08
2024-03-25,9492.32,1054245.33,0.0,1054245.33,54245.33,0.0,1721.15
2024-03-26,9492.32,1048845.84,0.0,1048845.84,48845.84,0.0,1721.15
2024-03-27,107564.57,1018168.33,0.0,1018168.33,18168.33,0.0,1843.9
2024-03-28,400926.59,1034694.4,0.0,1034694.4,34694.4,0.0,2211.06
2024-03-29,400926.59,1036299.67,0.0,1036299.67,36299.67,0.0,2211.06
2024-04-01,500203.26,1040882.19,0.0,1040882.19,40882.19,0.0,2335.31
2024-04-02,500203.26,1045480.15,0.0,1045480.15,45480.15,0.0,2335.31
2024-04-03,396306.76,1049927.78,0.0,1049927.78,49927.78,0.0,2361.28
2024-04-08,396306.76,1059812.4,0.0,1059812.4,59812.4,0.0,2361.28
2024-04-09,396306.76,1059523.13,0.0,1059523.13,59523.13,0.0,2361.28
2024-04-10,396306.76,1064492.0,0.0,1064492.0,64492.0,0.0,2361.28
2024-04-11,396306.76,1089847.39,0.0,1089847.39,89847.39,0.0,2361.28
2024-04-12,543193.24,1085655.04,0.0,1085655.04,85655.04,0.0,2545.12
2024-04-15,543193.24,1090392.91,0.0,1090392.91,90392.91,0.0,2545.12
2024-04-16,439059.42,1073556.6,0.0,1073556.6,73556.6,0.0,2571.14
2024-04-17,642290.32,1096511.72,0.0,1096511.72,96511.72,0.0,2825.5
2024-04-18,873216.14,1096022.7,0.0,1096022.7,96022.7,0.0,3114.52
2024-04-19,877937.93,1097438.89,0.0,1097438.89,97438.89,0.0,3284.68
2024-04-22,661365.31,1085224.27,0.0,1085224.27,85224.27,0.0,3338.81
2024-04-23,554258.19,1069576.37,0.0,1069576.37,69576.37,0.0,3365.58
2024-04-24,551516.59,1079298.66,0.0,1079298.66,79298.66,0.0,3517.98
2024-04-25,444804.11,1077954.08,0.0,1077954.08,77954.08,0.0,3544.65
2024-04-26,444804.11,1087229.51,0.0,1087229.51,87229.51,0.0,3544.65
2024-04-29,444804.11,1089915.51,0.0,1089915.51,89915.51,0.0,3544.65
2024-04-30,122880.53,1084871.08,0.0,1084871.08,84871.08,0.0,3625.11
2024-05-06,219302.31,1099029.55,0.0,1099029.55,99029.55,0.0,3745.79
2024-05-07,219302.31,1093150.89,0.0,1093150.89,93150.89,0.0,3745.79
2024-05-08,111561.04,1076736.29,0.0,1076736.29,76736.29,0.0,3772.72
2024-05-09,111561.04,1098449.37,0.0,1098449.37,98449.37,0.0,3772.72
2024-05-10,111561.04,1100100.43,0.0,1100100.43,100100.43,0.0,3772.72
2024-05-13,2223.73,1103287.12,0.0,1103287.12,103287.12,0.0,3800.05
2024-05-14,2223.73,1097540.77,0.0,1097540.77,97540.77,0.0,3800.05
2024-05-15,2223.73,1077321.62,0.0,1077321.62,77321.62,0.0,3800.05
2024-05-16,2223.73,1073324.37,0.0,1073324.37,73324.37,0.0,3800.05
2024-05-17,107550.41,1085346.59,0.0,1085346.59,85346.59,0.0,3931.87
2024-05-20,898.0,1104591.45,0.0,1104591.45,104591.45,0.0,3958.53
2024-05-21,898.0,1089101.51,0.0,1089101.51,89101.51,0.0,3958.53
2024-05-22,108752.77,1084085.49,0.0,1084085.49,84085.49,0.0,4093.51
2024-05-23,106523.22,1070074.42,0.0,1070074.42,70074.42,0.0,4251.43
2024-05-24,218461.17,1070025.48,0.0,1070025.48,70025.48,0.0,4391.53
2024-05-27,316734.39,1080604.74,0.0,1080604.74,80604.74,0.0,4514.53
2024-05-28,428309.65,1077060.55,0.0,1077060.55,77060.55,0.0,4654.17
2024-05-29,428309.65,1071612.71,0.0,1071612.71,71612.71,0.0,4654.17
2024-05-30,323484.71,1069164.26,0.0,1069164.26,69164.26,0.0,4680.37
2024-05-31,544171.12,1077007.85,0.0,1077007.85,77007.85,0.0,4956.57
2024-06-03,544171.12,1082368.14,0.0,1082368.14,82368.14,0.0,4956.57
2024-06-04,223304.98,1101689.75,0.0,1101689.75,101689.75,0.0,5036.77
2024-06-05,336505.1,1096909.66,0.0,1096909.66,96909.66,0.0,5178.45
2024-06-06,228168.27,1098258.5,0.0,1098258.5,98258.5,0.0,5205.52
2024-06-07,118628.09,1110907.23,0.0,1110907.23,110907.23,0.0,5232.9
2024-06-11,220834.87,1116940.44,0.0,1116940.44,116940.44,0.0,5360.82
2024-06-12,316518.26,1120472.43,0.0,1120472.43,120472.43,0.0,5480.57
2024-06-13,204980.62,1124317.78,0.0,1124317.78,124317.78,0.0,5508.45
2024-06-14,204980.62,1117118.43,0.0,1117118.43,117118.43,0.0,5508.45
2024-06-17,204980.62,1114716.96,0.0,1114716.96,114716.96,0.0,5508.45
2024-06-18,405901.38,1109071.6,0.0,1109071.6,109071.6,0.0,5759.92
2024-06-19,185359.0,1098145.26,0.0,1098145.26,98145.26,0.0,5815.04
2024-06-20,185359.0,1075621.28,0.0,1075621.28,75621.28,0.0,5815.04
2024-06-21,315526.29,1071617.57,0.0,1071617.57,71617.57,0.0,5977.95
2024-06-24,315526.29,1055444.11,0.0,1055444.11,55444.11,0.0,5977.95
2024-06-25,307514.88,1049538.29,0.0,1049538.29,49538.29,0.0,6123.8
2024-06-26,510393.42,1051474.22,0.0,1051474.22,51474.22,0.0,6377.72
2024-06-27,510393.42,1044296.14,0.0,1044296.14,44296.14,0.0,6377.72
2024-06-28,510393.42,1063035.12,0.0,1063035.12,63035.12,0.0,6377.72
